PLAYER,POS,TEAM,GAME,FP,DK,FD,PROJ,PTS,MIN,FG,FGA,AST,TRB,DRB,ORB,BK,ST,TO,FT,FTP,FGP
Wendell Moore Jr.,SF,CHA,CHA@NO,8.7,10.1,9.5,1,3.9,11,1.5,3.4,1.3,2.4,1.7,0.7,0.1,0.6,0.9,0.5,0.79,0.44
Dalano Banton,SF,POR,POR@NY,8.3,9.3,9,1,4.4,11,1.6,3.8,1.3,1.4,1.1,0.3,0.3,0.4,0.8,0.7,0.73,0.42
Matisse Thybulle,SF,POR,POR@NY,8.1,10.3,10.9,1,3.7,15,1.4,3,0.8,1.6,1.2,0.4,0.5,1.1,0.4,0.2,0.69,0.47
Marcus Sasser,SG,DET,DET@MIN,8.1,8.8,8.4,1,4.4,11,1.6,3.5,1.5,0.8,0.7,0.1,0.1,0.4,0.7,0.5,0.85,0.46
Andre Jackson Jr,SG,MIL,ATL@MIL,7.9,9.4,8.7,1,3,14,1.2,2.6,1.2,2.7,1.8,0.9,0.2,0.5,0.9,0.2,0.57,0.46
Jae'Sean Tate,SF,HOU,HOU@PHO,7.8,8.9,8.7,1,3.7,12,1.4,3.1,0.9,2.1,1.4,0.7,0.2,0.5,0.4,0.6,0.71,0.45
Collin Gillespie,PG,PHO,HOU@PHO,7.8,8.3,7.8,1,3.5,9,1.2,2.6,1.5,1.3,1,0.3,0.1,0.3,0.3,0.3,0.91,0.46
Simone Fontecchio,SF,DET,DET@MIN,7.6,8.8,8.1,1,4.6,13,1.6,3.7,0.6,1.8,1.4,0.4,0.1,0.4,0.5,0.5,0.81,0.43
Jabari Walker,SF,POR,POR@NY,7.4,8.7,7.9,1,3.6,10,1.3,2.8,0.5,2.8,2.1,0.7,0.1,0.3,0.4,0.6,0.7,0.46
Oso Ighodaro,C,PHO,HOU@PHO,7.4,8.5,8.3,1,2.9,13,1.3,2,0.8,2.6,2,0.6,0.4,0.3,0.4,0.3,0.61,0.65
Garrett Temple,SF,TOR,TOR@PHI,7.3,8.5,8.4,1,2.8,11,0.9,2.8,1.3,1.7,1.3,0.4,0.2,0.7,0.6,0.4,0.8,0.32
Ron Holland,SF,DET,DET@MIN,7.1,8.1,7.7,1,4.2,12,1.6,3.3,0.7,1.7,1.4,0.3,0.1,0.4,0.7,0.7,0.75,0.48
Dom Barlow,PF,ATL,ATL@MIL,6.7,7.9,7.7,1,3,9,1.2,2.5,0.4,2.3,1.3,1,0.4,0.3,0.1,0.5,0.71,0.48
Aaron Holiday,PG,HOU,HOU@PHO,6.3,6.9,6.6,1,3.6,10,1.3,3,0.9,0.9,0.7,0.2,0.1,0.3,0.4,0.5,0.84,0.43
Reed Sheppard,PG,HOU,HOU@PHO,6.2,7.1,7,1,3.1,10,1.2,3.3,0.9,1,0.8,0.2,0.2,0.5,0.4,0.2,0.76,0.36
Kris Murray,PF,POR,POR@NY,6.1,7.2,6.9,1,2.8,12,1.1,2.8,0.7,1.8,1.1,0.6,0.2,0.4,0.5,0.3,0.46,0.39
Jaylen Clark,SG,MIN,DET@MIN,5.4,6.5,6.8,1,3,10,1.1,2.2,0.4,0.8,0.4,0.4,-,0.8,0.1,0.4,0.77,0.5
Terrence Shannon Jr.,SF,MIN,DET@MIN,5.1,5.6,5.2,1,3,8,1.2,2.4,0.6,1,0.8,0.2,0.1,0.1,0.4,0.4,0.8,0.5
Damion Baugh,SG,CHA,CHA@NO,4.7,5.2,5.1,1,2.1,5,0.8,2.4,1,0.6,0.5,0.1,-,0.5,0.5,0.2,0.82,0.33
